id,grade,publisher,unit,error_pattern,error_description,question,example_sentences
1,5학년,YBM(최희경),1단원,Where you are from?,An auxiliary verb is required before the subject in a wh-question.,"어느 나라에서 왔는지 물을 때, 단어의 순서는 어떻게 써야 할까요?","Where are you from? | Where are you from, Ryan? | Where are you from, Kevin? | Where are you from, Tom? | Where are you from, Mohan?"
2,5학년,YBM(최희경),1단원,I am Korea.,The preposition “from” is required when referring to a country of origin.,"어느 나라에서 왔는지 말할 때, '~로부터'라는 의미의 어떤 단어가 필요할까요?","I’m from Korea. | I am from Korea. | I'm from Busan, Korea. | My name is Horan. I’m from Korea. | I’m Jiho from Korea."
3,5학년,YBM(최희경),1단원,I’m from the Korea.,Country names such as Korea are normally used without the definite article.,나라 이름 앞에는 불필요한 단어가 있지 않나요?,I’m from Korea. | I’m from France. | I’m from Brazil. | I’m from Thailand. | I’m from the U.K
4,5학년,YBM(최희경),1단원,Nice meet you.,The verb “meet” cannot be used without a finite verb in this expression.,~하는 것'이 좋다라고 할 때 nice 뒤에 꼭 필요한 말은 무엇인가요?,"Nice to meet you. | Nice to meet you, too. | Nice to meet you, Amber. | Nice to meet you, everyone! | Nice to meet you, Peter."
5,5학년,YBM(최희경),1단원,I'm from korea.,Country names should begin with a capital letter.,나라 이름의 첫 글자는 어떻게 써야 할까요?,I’m from Korea. | I’m from France. | I’m from Brazil. | I’m from Thailand. | I’m from the U.K
6,5학년,YBM(최희경),2단원,can I sit here?,A sentence should begin with a capital letter.,문장이 시작될 때 첫 글자는 어떻게 써야 할까요?,"Can I sit here? | Hi. Can I sit here? | Ms. Jones, can I sit here? | May I sit here? | Can I sit here? Yes, you can."
7,5학년,YBM(최희경),2단원,Can sit I here?,The subject should come before the main verb in a question.,허락을 구할 때 단어의 순서는 어떻게 써야 할까요?,"Yes, you can. | Oh, yes, you can. | Yes, you can. Thank you. | Yes, you can. Go ahead. | Sure, you can."
8,5학년,YBM(최희경),2단원,"Yes, you can sit.",A short permission response can end with “you can” without repeating the main verb.,허락해주는 상황에서 더 짧게 말할 수 있나요?,"Yes, you can. | Oh, yes, you can. | Yes, you can. Thank you.,,, | Yes, you can. Go ahead.,, | Sure, you can."
9,5학년,YBM(최희경),2단원,"Sorry, you can.","The negative response with “sorry” requires “can’t,” not “can.”",허락하지 못하는 상황이라면 you 뒤에 어떤 형태가 와야 할까요?,"Sorry, you can’t. | No, you can’t. | Sorry, but I can’t. | I’m sorry. But I can’t go. | No, you can't. I'm sorry."
10,5학년,YBM(최희경),2단원,Your welcome.,The possessive determiner “your” should be changed to the contraction “you’re” in this expression.,천만에요'라고 하려면 어떤 형태가 맞을까요?,You’re welcome. | No problem. | Thank you. You're welcome. | You're welcome. Have a good time! | No problem. Have a nice trip.
11,5학년,YBM(최희경),3단원,What's your favorite subjects?,A singular noun is required when asking about one favorite subject.,가장 좋아하는 것을 물을 때 뒤에 나오는 단어(명사)는 어떤 형태인가요?,What’s your favorite subject? | My favorite subject is science. | What’s your favorite thing? | Blue is my favorite color. | The dog is my favorite animal.
12,5학년,YBM(최희경),3단원,What your favorite subject is?,An auxiliary verb is required before the subject in a wh-question.,"질문을 만들 때, 단어의 순서는 어떻게 하는 게 맞을까요?","What’s your favorite subject? | What’s your favorite subject, Doyun? | What’s your favorite subject, everyone? | Today, let’s talk about our favorite subjects. | What is your favorite subject?"
13,5학년,YBM(최희경),3단원,My favorite subject are music.,A singular subject requires a singular verb.,주어가 하나일 때 동사는 어떤 형태로 써야 할까요?,My favorite subject is P.E. | My favorite subject is science. | My favorite subject is art. | My favorite subject is math. | My favorite subject is English.
14,5학년,YBM(최희경),3단원,I like sing songs.,The verb after “like” should be in the gerund form when referring to an activity.,like 뒤에 '~하는 것'을 나타내기 위해 어떤 형태로 써야 할까요?,My favorite subject is music. I like singing songs. | I like singing and dancing. | I like to sing songs.
15,5학년,YBM(최희경),3단원,I like singing song.,A plural noun is required for a countable noun used in a general sense.,주어진 단어는 셀 수 있나요? 그렇다면 어떤 형태로 써야 할까요?,There is a table. | There are two chairs. | There are many books. | He has three bad teeth. | I saw some birds.
16,5학년,YBM(최희경),4단원,What time are you get up?,The auxiliary “do” should be used instead of “are” to form a simple present question.,언제 ~을 하니?'라는 질문을 만들 때 What time 뒤에 어떤 단어가 오는 것이 맞을까요?,What time do you get up? | What time do you have breakfast? | What time do you go to school? | What time do you go home? | What time do you go to bed?
17,5학년,YBM(최희경),4단원,What time you get up?,An auxiliary verb is required before the subject in a wh-question.,언제 ~을 하니?'라는 질문을 만들 때 What time 뒤에 어떤 단어가 필요한가요? ,What time do you get up? | What time do you have breakfast? | What time do you go to school? | What time do you go home? | What time do you go to bed?
18,5학년,YBM(최희경),4단원,I get up on 6:00.,"The preposition “at” is used to express clock time, not “on.”",시각을 나타내는 말 앞에 어떤 말이 들어가야 할까요?,I get up at 7:00. | I have breakfast at 7:40. | I have a soccer lesson at 5:00. | We walk the dog at 9:00. | I have my lesson at 4:00.
19,5학년,YBM(최희경),4단원,I get up at 6 o'clocks.,The noun “o’clock” is not used in the plural form.,"정시(1시, 2시 등)를 나타낼 때 어떤 형태로 써야 할까요?",I get up at 4 o’clock. | I do my homework at 4 o’clock. | My school starts at 8 o’clock. | I exercise at 10 o’clock. | I go to bed at 8 o’clock.
20,5학년,YBM(최희경),4단원,What about you?,“How about you?” is more appropriate than “What about you?” when asking for the other person’s information or opinion.,너는 어때?'라고 하려면 어떤 단어로 시작해야 할까요?,How about you? | How about your day? | How about this color? | How about at 5:00?
21,5학년,YBM(최희경),5단원,Who's bottle is this?,The possessive determiner “whose” should be used instead of the contraction “who’s.”,누구의 것인지 물을 때 어떤 단어를 써야 하나요?,Whose jacket is this? | Whose phone is this? | Whose umbrella is this? | Whose helmet is this? | Whose watch is this?
22,5학년,YBM(최희경),5단원,Whose bottle this is?,An auxiliary verb is required before the subject in a wh-question.,"질문을 만들 때, 단어의 순서가 자연스러운가요?",Where are you from? | What’s your name? | What’s your favorite subject? | Whose phone is this? | Whose pencil is this?
23,5학년,YBM(최희경),5단원,It's Amber.,The possessive form with ’s should be used when indicating that something belongs to a person.,"누구의 것인지 말할 때, 이름 뒤에 무엇을 적어야 하나요?",It's Inho’s. | It’s Judy’s. | It’s Yuna’s. | They’re Kyle’s. | It’s my little brother’s.
24,5학년,YBM(최희경),5단원,It have pink hearts.,The verb “have” should be changed to “has” to agree with the subject.,주어가 it일 때 동사는 어떤 형태로 와야 하나요?,It looks great. | It smells good! | It is very sweet. | It has a yellow star. | It is a traditional Korean house.
25,5학년,YBM(최희경),5단원,It has pink heart.,A plural noun is required for a countable noun used in a general sense.,셀 수 있는 대상이라면 어떻게 표현해야 할까요?,There is a table. | There are two chairs. | He has three bad teeth. | I saw some birds. | There are many stars.
26,5학년,YBM(최희경),6단원,What will do you this summer?,The auxiliary “will” should be followed directly by the subject and the main verb.,"질문을 만들 때, 단어의 순서가 자연스러운가요?",What will you do this summer? | What will you do this winter? | What will you do there? | What will you do for the Earth? | What will you do next year?
27,5학년,YBM(최희경),6단원,What will you do in this summer?,The preposition “in” is not normally used with “this summer.”,계절 앞에 불필요한 단어가 있지는 않나요?,What will you do this summer? | What will you do this winter? | What will you do next year? | I’ll visit my grandparents this summer. | I’ll join a farm camp this summer.
28,5학년,YBM(최희경),6단원,I will goes to a science camp.,The base form of a verb should be used after the auxiliary “will.”,will 다음에 오는 말은 어떤 형태인가요?,I will read many books. | I will visit my cousin. | I will make a robot. | I will go to the beach. | I will turn off the lights.
29,5학년,YBM(최희경),6단원,I will go a science camp.,The preposition “to” is required before “a science camp” after “go.”,~에 가다'라고 하려면 장소 앞에 어떤 단어가 필요한가요?,I go to school at 8:20. | Let’s go to the park. | How can I get to the library? | I’m going to go to the science camp. | Go to the nurse’s office.
30,5학년,YBM(최희경),6단원,That sound good.,A singular subject requires a singular verb.,주어가 that 일 때 동사는 어떤 형태로 와야 하나요?,That sounds great. | That looks fun. | That looks nice. | That sounds delicious. | That is him.
31,5학년,YBM(최희경),7단원,What did you do in the vacation?,The preposition “during” is more appropriate than “in” when expressing the meaning of “for the period of the vacation.”,이 문장에서 '~동안'이라고 하려면 어떤 단어를 써야 할까요?,What did you do during the vacation? | What did you do during the summer? | What did you do during the weekend? | What did you do during the winter vacation? | I went to Vietnam during the summer.
32,5학년,YBM(최희경),7단원,What do you did during the vacation?,The auxiliary “did” should be used instead of “do” to form a simple past question.,과거의 행동을 나타내는 질문의 경우 what 뒤에 어떤 형태의 단어를 적어야 할까요?,What did you do during the vacation? | What did you do yesterday? | What did you do last weekend? | What did you do there? | What did you do last summer?
33,5학년,YBM(최희경),7단원,I rode on boat.,An article is required before the singular countable noun “boat.”,셀 수 있는 대상이라면 어떻게 표현해야 할까요?,I rode in a boat. | I took a picture. | I watched a movie. | I visited a museum. | I bought a cap.
34,5학년,YBM(최희경),7단원,I did rode in a boat.,The auxiliary “did” should not be used together with the past tense form of the main verb.,행동을 나타내는 말(동사) 앞에 불필요한 단어가 있지 않나요?,I rode in a boat. | I swam at the beach. | I visited my grandparents. | I ate delicious food. | I watched a movie.
35,5학년,YBM(최희경),7단원,It is fun.,The past tense should be used to describe an experience in the past.,이미 지난 일을 말할 때 어떤 형태를 써야 할까요?,It was fun. | It was great. | It was so much fun. | It was very fun. | It was good.
36,5학년,YBM(최희경),8단원,What is he look like?,The auxiliary “does” should be used instead of “is” in this question pattern.,질문에서 what 뒤에 필요한 단어는 무엇일까요? (주어를 참고하세요.),What does he look like? | What does she look like? | What does your sister look like? | What does your dad look like? | What does Ms. Jones look like?
37,5학년,YBM(최희경),8단원,What does he looks like?,The base form of a verb should be used after the auxiliary “does.”,does 다음에 행동을 나타내는 말(동사)은 어떤 형태로 와야 하나요?,What does he look like? | What does she look like? | What does your sister look like? | What does your dad look like? | What does Jack look like?
38,5학년,YBM(최희경),8단원,He has short straight hairs.,An uncountable noun used for hairstyle should not take a plural ending.,셀 수 없는 대상이라면 어떻게 써야 할까요?,She has long straight hair. | He has short curly hair. | She has long curly hair. | He has short black hair. | He has short straight hair.
39,5학년,YBM(최희경),8단원,He's wear a green T-shirt.,The present participle form is required after the auxiliary “be” in the present progressive.,He’s 다음에 오는 단어의 올바른 형태는 무엇일까요?,He’s wearing a blue T-shirt. | She’s wearing a yellow dress. | He’s wearing brown pants. | She is wearing a pink scarf. | He’s wearing a blue jacket.
40,5학년,YBM(최희경),8단원,He wearing a green T-shirt.,A form of the auxiliary “be” is required before the present participle.,~하고 있다'를 표현하기 위해 어떤 형태의 단어(동사)를 사용해야 할까요?,He’s wearing a blue T-shirt. | She’s wearing a yellow dress. | He is wearing a green T-shirt. | She is wearing a red skirt. | He is wearing a white shirt and blue pants.
41,5학년,YBM(최희경),9단원,Where is baseball park?,The definite article is required before a singular countable noun phrase referring to a specific place.,무언가를 특정하기 위해('그') 어떤 단어가 필요할까요?,Where is the baseball park? | Where is the bus stop? | Where is the market? | Where is the museum? | Where is the library?
42,5학년,YBM(최희경),9단원,Where the baseball park is?,The auxiliary verb should come before the subject in a wh-question.,~이 어디에 있나요?'라는 질문을 하고 싶을 때 단어의  순서를 어떻게 해야 할까요?,Where is the bank? | Where is the park? | Where is the bookstore? | Where is the ice cream shop? | Where is the zoo?
43,5학년,YBM(최희경),9단원,Go straight and turn to right.,"The fixed expression is “turn right,” not “turn to right.”",오른쪽으로' 또는 '왼쪽으로' 라고 이야기할 때 불필요한 단어가 있지는 않나요? ,Go straight and turn right. | Go straight and turn left. | Go straight one block and turn right. | Go straight two blocks and turn left. | Go straight three blocks and turn right.
44,5학년,YBM(최희경),9단원,It's in your left.,"The fixed expression is “on your left,” not “in your left.”",~에 있다'라고 이야기할 때 위치 앞에 필요한 단어는 무엇일까요?,It’s on your right. | It’s on your left. | It's on your left. | It's on your right. | It is on your right.
45,5학년,YBM(최희경),9단원,Excuse me please.,The fixed expression is “Excuse me” without “please.”,"주의를 끌 때, 보통 어떤 표현을 사용하나요?",Excuse me. | Excuse me. Where is the museum? | Excuse me. Where is the library? | Excuse me. Where is the bank? | Excuse me. Can I take a picture?
46,5학년,YBM(최희경),10단원,How much is these gloves?,"The plural noun “gloves” requires the verb “are,” not “is.”",여러 개인 것을 말할 때 어떤 형태를 사용해야 하나요?,How much are these gloves? | How much are these sunglasses? | How much are these shoes? | How much are these pants? | How much are these socks?
47,5학년,YBM(최희경),10단원,How many are these gloves?,“How much” is more appropriate than “how many” when asking about a price.,가격을 물을 때 'how' 뒤에 어떤 단어가 와야 하나요?,How much are these sunglasses? | How much are these socks? | How much are these gloves? | How much are these shoes? | How much are these pants?
48,5학년,YBM(최희경),10단원,"They're 10,000 wons.",The currency unit “won” is normally not used in the plural form after a number.,얼마인지 대답할 때 화폐 단위는 어떤 형태로 써야 할까요?,"They’re 10,000 won. | They’re 8,000 won. | They’re 1,000 won. | They’re 4,000 won. | They’re 20,000 won."
49,5학년,YBM(최희경),10단원,What size are you want?,The auxiliary “do” should be used instead of “are” to form a simple present question.,무엇을 원하냐'는 질문을 만들 때 필요한 단어는 무엇일까요?,What size do you want? | What color do you want? | What do you want? | What do you want for lunch? | What do you want to buy for your parents?
50,5학년,YBM(최희경),10단원,I want small size.,An article is required before the singular countable noun phrase “small size.”,셀 수 있는 대상이라면 어떻게 표현해야 할까요?,"Small, please. | I want a medium. | I want a large. | I want a small. | I want a small."
51,5학년,YBM(최희경),11단원,What is in kitchen?,The definite article is required before “kitchen” when referring to a specific room.,무언가를 특정하기 위해('그') 어떤 단어가 필요할까요?,What’s in the kitchen? | What’s in the living room? | What’s in the bedroom? | What’s in the bathroom? | What’s in the garden?
52,5학년,YBM(최희경),11단원,What are in the kitchen?,A singular subject requires a singular verb.,"무엇이 있는지 물을 때 동사는 어떤 형태여야 하나요? (주어가 하나인가요, 여러 개인가요?)",What’s in the kitchen? | What’s in the living room? | What’s in your bedroom? | What’s in the tent? | What’s in the ger?
53,5학년,YBM(최희경),11단원,There are a pot in the kitchen.,The singular noun phrase “a pot” requires the singular verb “is.”,무언가가 하나 있는 상황이라면 동사는 어떤 형태여야 하나요?,There is a table. | There is a stove. | There is a bed. | There is a mirror. | There is a TV.
54,5학년,YBM(최희경),11단원,There is pot in the kitchen.,An article is required before the singular countable noun “pot.”,셀 수 있는 대상이라면 어떻게 표현해야 할까요?,There is a pot in the kitchen. | There is a big bed. | There is a clock. | There is a family picture. | There is a hairdryer.
55,5학년,YBM(최희경),11단원,Can you look me?,The preposition “at” is required after “look” before an object.,~을 보다'라고 이야기하려면 look 뒤에 어떤 단어가 필요할까요?,Look at me. | Look at this! | Look at them! | Look at the sky. | Look at this picture.
56,5학년,YBM(최희경),12단원,What do you want do?,The infinitive marker “to” is required before the verb after “want.”,무엇을 하고 싶니?'라고 물을 때 want 뒤에 어떤 단어가 와야 할까요?,What do you want to do? | What do you want to do during the vacation? | What do you want to do in Pohang? | What do you want to do this weekend? | What do you want to do in Sokcho?
57,5학년,YBM(최희경),12단원,What are you want to do?,The auxiliary “do” should be used instead of “are” to form a simple present question.,무엇을 하고 싶니?'라고 물을 때 what 뒤에 어떤 단어가 와야 할까요?,What do you want to do? | What do you want to be? | What do you want for lunch? | What do you want to buy for your parents? | What do you want to do tomorrow?
58,5학년,YBM(최희경),12단원,I want go hiking.,The infinitive marker “to” is required before the verb after “want.”,~을 하고 싶다'라고 이야기할 때 want 뒤에는 어떤 형태가 와야 할까요?,I want to learn the guitar. | I want to try winter sports. | I want to go hiking. | I want to make a dance video. | I want to go shopping.
59,5학년,YBM(최희경),12단원,I want to going hiking.,The verb after “to” should be in the base form.,~을 하고 싶다'라고 이야기할 때 to 뒤에는 어떤 형태가 와야 할까요?,I want to take a walk. | I want to stay with Sue. | I want to make a robot. | I want to see some birds. | I want to be an animal trainer.
60,5학년,YBM(최희경),12단원,Let's going camping.,“Let’s” should be followed by the base form of a verb.,~을 하자!'라고 할 때 Let's 뒤에는 어떤 형태가 와야 할까요?,Let’s play soccer after school. | Let’s try it! | Let’s study together. | Let’s ride our bikes. | Let’s go to the park this Saturday.
